date,open,high,low,close,volume
2016-11-04,102.52,105.32,102.28,104.7,612556
2016-11-07,106.29,107.85,104.81,107.34,648919
2016-11-08,106.47,108.64,105.7,107.91,369078
2016-11-09,107.07,107.56,104.16,106.02,406927
2016-11-10,107.03,107.71,105.27,107.25,565669
2016-11-11,106.72,110.24,106.55,110.01,630118
2016-11-14,111.08,111.9,108.81,110.01,767034
2016-11-15,110.02,112.04,109.56,111.59,657252
2016-11-16,111.42,112.52,110.01,111.55,647747
2016-11-17,111.98,113.95,110.96,113.6,455154
2016-11-18,113.51,114.7,113.04,113.41,817781
2016-11-21,113.12,116.11,112.92,115.81,594814
2016-11-22,116.04,116.83,110.51,111.02,519682
2016-11-23,110.21,113.34,109.75,112.85,428394
2016-11-25,113.36,113.98,111.42,113.67,92319
2016-11-28,113.66,114.68,111.81,112.22,305881
2016-11-29,112.47,113.23,111.47,112.09,286319
2016-11-30,112.67,112.95,110.01,112.24,452490
2016-12-01,112.08,112.96,106.59,107.39,783031
2016-12-02,107.03,109.83,106.8,108.87,460155
2016-12-05,109.26,110.82,108.82,109.95,264961
2016-12-06,109.62,114.68,109.53,112.94,781447
2016-12-07,114.07,117.94,111.79,116.65,710069
2016-12-08,116.82,118.79,115.25,118.08,446347
2016-12-09,118.76,118.76,116.42,116.92,322991
2016-12-12,116.4,119.15,115.6,119.06,436026
2016-12-13,119.61,120.89,118.04,118.66,385445
2016-12-14,118.23,120.36,118.02,119.2,383777
2016-12-15,119.02,120.79,118.18,118.67,290545
2016-12-16,118.65,119.44,117.31,117.54,584686
2016-12-19,117.54,118.36,116.33,116.77,450405
2016-12-20,116.5,117.69,112.12,113.1,720762
2016-12-21,112.77,114.73,112.77,113.56,350667
2016-12-22,113.3,113.3,110.37,111.55,343636
2016-12-23,111.76,113.08,110.5,112.38,142523
2016-12-27,112.37,113.95,112.05,113.74,195803
2016-12-28,113.7,114.3,112.53,112.78,160174
2016-12-29,112.74,114.36,110.82,113.58,179566
2016-12-30,113.6,113.99,112.26,112.68,166052
2017-01-03,112.56,114.41,111.48,112.36,284401
2017-01-04,113.02,115.97,112.32,115.74,336089
2017-01-05,115.9,116.05,113.7,114.81,383035
2017-01-06,115.05,115.92,114.77,115.42,268868
2017-01-09,115.62,117.71,114.67,117.11,338873
2017-01-10,112.48,114.71,110.0,112.24,830602
2017-01-11,112.35,112.95,109.83,111.27,492852
2017-01-12,110.99,112.5,110.21,112.37,278757
2017-01-13,112.87,115.73,112.22,115.67,371449
2017-01-17,114.69,115.49,113.92,114.02,272142
2017-01-18,114.82,114.82,112.91,113.27,235792
2017-01-19,113.47,113.64,111.62,112.21,387372
2017-01-20,112.0,112.3,110.83,111.84,388409
2017-01-23,111.6,112.6,110.26,111.57,367884
2017-01-24,111.82,112.6,110.45,112.3,302975
2017-01-25,113.43,115.68,113.2,114.82,404601
2017-01-26,116.49,116.49,105.13,106.09,1243453
2017-01-27,105.75,110.46,105.75,108.85,763795
2017-01-30,108.0,108.01,105.38,106.15,574818
2017-01-31,106.3,107.0,105.16,106.37,454160
2017-02-01,106.28,106.76,104.9,105.59,467465
2017-02-02,104.55,105.08,103.53,104.1,882904
2017-02-03,104.85,105.93,103.82,104.96,734225
2017-02-06,105.11,111.22,105.11,110.5,1240536
